jaw;larynx;lip;F1;F2;ScaledF1;ScaledF2;Note;
14.0;110.0;S;433;1310;542,0518519;1639,925926;N/a;
14.0;100.0;R;436;1132;545,8074074;1417,096296;N/a;
15.0;105.0;R;436;1139;545,8074074;1425,859259;N/a;
11.0;100.0;S;438;1260;548,3111111;1577,333333;N/a;
13.0;95.0;R;438;1135;548,3111111;1420,851852;N/a;
12.0;100.0;S;441;1281;552,0666667;1603,622222;N/a;
11.0;90.0;R;443;1105;554,5703704;1383,296296;N/a;
13.0;100.0;S;444;1305;555,8222222;1633,666667;N/a;
16.0;105.0;R;444;1088;555,8222222;1362,014815;N/a;
9.0;90.0;S;444;1172;555,8222222;1467,17037;N/a;
10.0;90.0;S;448;1199;560,8296296;1500,97037;N/a;
17.0;110.0;R;448;1102;560,8296296;1379,540741;N/a;
12.0;90.0;R;449;1125;562,0814815;1408,333333;N/a;
14.0;105.0;S;449;1318;562,0814815;1649,940741;N/a;
15.0;110.0;S;453;1333;567,0888889;1668,718519;N/a;
13.0;90.0;R;454;1142;568,3407407;1429,614815;N/a;
15.0;100.0;R;454;1152;568,3407407;1442,133333;N/a;
18.0;110.0;R;454;1125;568,3407407;1408,333333;N/a;
10.0;85.0;S;456;1202;570,8444444;1504,725926;N/a;
14.0;95.0;R;458;1148;573,3481481;1437,125926;N/a;
9.0;85.0;S;458;1170;573,3481481;1464,666667;N/a;
11.0;85.0;R;461;1102;577,1037037;1379,540741;N/a;
11.0;95.0;S;461;1276;577,1037037;1597,362963;N/a;
16.0;100.0;R;461;1104;577,1037037;1382,044444;N/a;
17.0;105.0;R;463;1112;579,6074074;1392,059259;N/a;
12.0;95.0;S;464;1298;580,8592593;1624,903704;N/a;
16.0;110.0;S;464;1262;580,8592593;1579,837037;N/a;
13.0;95.0;S;466;1320;583,362963;1652,444444;N/a;
12.0;85.0;R;468;1125;585,8666667;1408,333333;N/a;
14.0;100.0;S;468;1329;585,8666667;1663,711111;N/a;
15.0;95.0;R;468;1113;585,8666667;1393,311111;N/a;
15.0;105.0;S;469;1342;587,1185185;1679,985185;N/a;
13.0;85.0;R;471;1146;589,6222222;1434,622222;N/a;
18.0;105.0;R;471;1133;589,6222222;1418,348148;N/a;
19.0;110.0;R;473;1168;592,1259259;1462,162963;N/a;
14.0;90.0;R;476;1156;595,8814815;1447,140741;N/a;
11.0;90.0;S;479;1277;599,637037;1598,614815;N/a;
16.0;105.0;S;481;1271;602,1407407;1591,103704;N/a;
17.0;100.0;R;481;1127;602,1407407;1410,837037;N/a;
17.0;110.0;S;481;1265;602,1407407;1583,592593;N/a;
12.0;90.0;S;483;1298;604,6444444;1624,903704;N/a;
18.0;110.0;S;483;1275;604,6444444;1596,111111;N/a;
16.0;95.0;R;484;1125;605,8962963;1408,333333;N/a;
13.0;90.0;S;486;1317;608,4;1648,688889;N/a;
14.0;85.0;R;489;1110;612,1555556;1389,555556;N/a;
18.0;100.0;R;489;1150;612,1555556;1439,62963;N/a;
19.0;105.0;R;489;1180;612,1555556;1477,185185;N/a;
15.0;100.0;S;491;1358;614,6592593;1700,014815;N/a;
20.0;110.0;R;491;1188;614,6592593;1487,2;N/a;
14.0;95.0;S;493;1347;617,162963;1686,244444;N/a;
21.0;110.0;R;494;1148;618,4148148;1437,125926;N/a;
11.0;85.0;S;498;1295;623,4222222;1621,148148;N/a;
15.0;90.0;R;498;1185;623,4222222;1483,444444;N/a;
17.0;105.0;S;498;1277;623,4222222;1598,614815;N/a;
19.0;110.0;S;499;1308;624,6740741;1637,422222;N/a;
12.0;85.0;S;501;1322;627,1777778;1654,948148;N/a;
13.0;85.0;S;501;1355;627,1777778;1696,259259;N/a;
16.0;100.0;S;501;1287;627,1777778;1611,133333;N/a;
18.0;105.0;S;501;1286;627,1777778;1609,881481;N/a;
16.0;90.0;R;504;1142;630,9333333;1429,614815;N/a;
17.0;95.0;R;504;1152;630,9333333;1442,133333;N/a;
15.0;95.0;S;506;1297;633,437037;1623,651852;N/a;
22.0;110.0;R;506;1191;633,437037;1490,955556;N/a;
